"ts","x","y","z"
1.884386120E2,8.140452206E-2,-4.555083215E-1,-2.726358175E-1
1.884486610E2,3.056613207E-1,-3.716752231E-1,-3.395338953E-1
1.884587090E2,5.046921372E-1,-3.604153395E-1,-2.980667055E-1
1.884687580E2,6.241407990E-1,-3.845094740E-1,-1.735966951E-1
1.884788060E2,6.417104006E-1,-3.398595154E-1,-2.599429153E-2
1.884888550E2,5.185903311E-1,-1.289132088E-1,1.034129709E-1
1.884989030E2,2.557647824E-1,2.057147771E-1,2.187624574E-1
1.885089520E2,-9.579777718E-2,5.046564937E-1,2.767325640E-1
1.885190000E2,-4.297772944E-1,6.205461621E-1,2.459030598E-1
1.885290490E2,-6.707528830E-1,5.551993251E-1,1.375116110E-1
1.885390970E2,-7.620987892E-1,3.918471932E-1,-4.049844574E-3
1.885491460E2,-7.620537877E-1,2.199009657E-1,-1.816027910E-1
1.885591940E2,-7.291775942E-1,6.774634868E-2,-3.779273033E-1
1.885692430E2,-7.006759048E-1,-5.236940458E-2,-5.371507406E-1
1.885792920E2,-6.757657528E-1,-1.433059722E-1,-6.410944462E-1
1.885893400E2,-6.793277264E-1,-1.877176464E-1,-6.967664957E-1
1.885993890E2,-6.929199100E-1,-2.035309076E-1,-7.065489292E-1
1.886094370E2,-7.208921313E-1,-1.897408068E-1,-6.725819111E-1
1.886194860E2,-7.249888778E-1,-1.911655962E-1,-5.837247372E-1
1.886295340E2,-7.183387280E-1,-1.362083405E-1,-4.749849439E-1
1.886395830E2,-7.076100111E-1,-3.986087069E-2,-3.680125475E-1
1.886496310E2,-7.006428838E-1,9.019672871E-2,-2.755569220E-1
1.886596800E2,-6.742872000E-1,2.068429440E-1,-2.052276433E-1
1.886697280E2,-6.378133297E-1,2.999521196E-1,-1.496426761E-1
1.886797770E2,-6.153740883E-1,3.686127067E-1,-1.053320467E-1
1.886898250E2,-6.006675959E-1,4.114168882E-1,-6.207565218E-2
1.886998740E2,-5.738468766E-1,4.038596451E-1,-1.677522622E-2
1.887099220E2,-5.433440804E-1,3.510006666E-1,1.617100462E-2
